iteration,time,component,value
0,0.0,1,0.0
0,0.0,2,0.0
0,0.0,3,0.0
0,0.003992,1,0.0
0,0.003992,2,0.0
0,0.003992,3,-0.04201346680988394
0,0.007968,1,0.0
0,0.007968,2,-0.0001670455440360985
0,0.007968,3,-0.057132592343382096
0,0.011928,1,-6.615003543829501e-7
0,0.011928,2,-0.0003932906097158916
0,0.011928,3,-0.040926197010985925
0,0.015872,1,-2.212638519102427e-6
0,0.015872,2,-0.0005547035307272201
0,0.015872,3,-0.09660657865186756
0,0.0198,1,-4.391513987798948e-6
0,0.0198,2,-0.000934174171671756
0,0.0198,3,-0.15663750085988457
0,0.023712,1,-8.046003347378856e-6
0,0.023712,2,-0.001546940075035624
0,0.023712,3,-0.1842014541445713
0,0.027608,1,-1.4072881879717648e-5
0,0.027608,2,-0.002264588940382874
0,0.027608,3,-0.19990127961180976
0,0.031488,1,-2.2859486968403203e-5
0,0.031488,2,-0.0030402059052766963
0,0.031488,3,-0.2013734652093718
0,0.035351999999999995,1,-3.4606842586392334e-5
0,0.035351999999999995,2,-0.0038183129748457076
0,0.035351999999999995,3,-0.19987995442189077
0,0.0392,1,-4.9299710913598636e-5
0,0.0392,2,-0.004587451039461144
0,0.0392,3,-0.17295831951116244
0,0.043031999999999994,1,-6.687882329681372e-5
0,0.043031999999999994,2,-0.005250227319827917
0,0.043031999999999994,3,-0.12443633475192681
0,0.046848,1,-8.691369074927709e-5
0,0.046848,2,-0.005725076373241271
0,0.046848,3,-0.12170579484570239
0,0.050648,1,-0.00010866898096759391
0,0.050648,2,-0.00618755839365494
0,0.050648,3,-0.1433326864017519
0,0.054432,1,-0.0001320827019291842
0,0.054432,2,-0.00672992927899917
0,0.054432,3,-0.17561161506504516
0,0.058199999999999995,1,-0.00015744107545245304
0,0.058199999999999995,2,-0.007391633844564259
0,0.058199999999999995,3,-0.1260323944067553
0,0.061952,1,-0.0001851744856372582
0,0.061952,2,-0.007864507388378406
0,0.061952,3,0.02560275740094313
0,0.065688,1,-0.00021455628524023987
0,0.065688,2,-0.007768855486728482
0,0.065688,3,0.06311692431712969
0,0.069408,1,-0.00024345642765086984
0,0.069408,2,-0.00753406052826876
0,0.069408,3,0.05868572111479089
0,0.073112,1,-0.00027136258784757735
0,0.073112,2,-0.007316688617259574
0,0.073112,3,0.02621010825099631
0,0.0768,1,-0.00029834653546803065
0,0.0768,2,-0.0072200257380299
0,0.0768,3,-0.06289641606526637
0,0.080472,1,-0.0003248584699780765
0,0.080472,2,-0.0074509813778215585
0,0.080472,3,-0.079812783402673
0,0.084128,1,-0.0003520992578953921
0,0.084128,2,-0.00774277691394173
0,0.084128,3,-0.10242882837669026
0,0.087768,1,-0.00038028296586214
0,0.087768,2,-0.008115617849232884
0,0.087768,3,-0.13823091453137015
0,0.091392,1,-0.00040969396494776
0,0.091392,2,-0.008616566683494569
0,0.091392,3,-0.07808009623815189
0,0.095,1,-0.00044078253754180845
0,0.095,2,-0.00889827967072182
0,0.095,3,-0.03858953024763953
0,0.09859199999999999,1,-0.0004727451581190411
0,0.09859199999999999,2,-0.009036893263371341
0,0.09859199999999999,3,-0.08328386396751808
0,0.102168,1,-0.0005050610884288571
0,0.102168,2,-0.009334716360919187
0,0.102168,3,-0.04728234870727553
0,0.105728,1,-0.0005382926786737295
0,0.105728,2,-0.009503041522317087
0,0.105728,3,-0.07922548618376846
0,0.109272,1,-0.0005719714578288212
0,0.109272,2,-0.009783816645352363
0,0.109272,3,-0.04907127147703899
0,0.11279999999999998,1,-0.0006064887629536242
0,0.11279999999999998,2,-0.009956940091123356
0,0.11279999999999998,3,0.007426461232421563
0,0.116312,1,-0.0006414575365536496
0,0.116312,2,-0.009930858359275091
0,0.116312,3,0.011078275250624036
0,0.119808,1,-0.0006761758173776753
0,0.119808,2,-0.00989212870899891
0,0.119808,3,0.019151784821222678
0,0.123288,1,-0.0007106004252849915
0,0.123288,2,-0.009825480497821054
0,0.123288,3,-0.025256860282345663
0,0.126752,1,-0.0007446358897294438
0,0.126752,2,-0.0099129702618391
0,0.126752,3,-0.037728180864503726
0,0.1302,1,-0.000778815811192265
0,0.1302,2,-0.01004305702945991
0,0.1302,3,-0.0795217219522931
0,0.133632,1,-0.0008132835829173713
0,0.133632,2,-0.010315975579200179
0,0.133632,3,-0.014987489545230583
0,0.137048,1,-0.0008485229554959191
0,0.137048,2,-0.010367172843486686
0,0.137048,3,0.04636471012372421
0,0.140448,1,-0.0008837713431637738
0,0.140448,2,-0.010209532829066024
0,0.140448,3,0.1422353085921357
0,0.14383200000000002,1,-0.0009183204022573335
0,0.14383200000000002,2,-0.009728208544790234
0,0.14383200000000002,3,0.06026785733740434
0,0.1472,1,-0.0009510850086361868
0,0.1472,2,-0.009525226401277858
0,0.1472,3,0.17746540444902678
0,0.15055200000000002,1,-0.0009830135675332704
0,0.15055200000000002,2,-0.008930362365564716
0,0.15055200000000002,3,0.114320503793187
0,0.15388800000000002,1,-0.0010128052563847943
0,0.15388800000000002,2,-0.008548989164910644
0,0.15388800000000002,3,0.030137594920585375
0,0.157208,1,-0.0010411879004122973
0,0.157208,2,-0.008448932349774303
0,0.157208,3,0.0818826738946231
0,0.160512,1,-0.0010691031728959515
0,0.160512,2,-0.008178391995226467
0,0.160512,3,0.12818618992087744
0,0.1638,1,-0.0010959937257762563
0,0.1638,2,-0.007756915802766621
0,0.1638,3,0.023902225340181535
0,0.167072,1,-0.0011213743542829086
0,0.167072,2,-0.007678707721453547
0,0.167072,3,0.016129460809747972
0,0.170328,1,-0.0011463762266239615
0,0.170328,2,-0.007626190197057008
0,0.170328,3,0.005146632673771464
0,0.173568,1,-0.0011710850828624262
0,0.173568,2,-0.007609515107193988
0,0.173568,3,0.08061790649556716
0,0.176792,1,-0.0011956181595680197
0,0.176792,2,-0.007349602976652279
0,0.176792,3,0.06274608257826017
0,0.18000000000000002,1,-0.0012191956859171204
0,0.18000000000000002,2,-0.0071483135437412195
0,0.18000000000000002,3,0.040171471923977166
0,0.183192,1,-0.0012420131027487422
0,0.183192,2,-0.007020086205359885
0,0.183192,3,0.10948395341060678
0,0.186368,1,-0.0012643088965369653
0,0.186368,2,-0.006672365169327797
0,0.186368,3,0.17973943830044622
0,0.189528,1,-0.0012853935704720413
0,0.189528,2,-0.006104388544298387
0,0.189528,3,0.1834168632577564
0,0.192672,1,-0.0013045857680553153
0,0.192672,2,-0.0055277259262159996
0,0.192672,3,0.15055287011295554
0,0.1958,1,-0.001321876494752519
0,0.1958,2,-0.005056796548502676
0,0.1958,3,0.19662196732831147
0,0.198912,1,-0.0013376132456114592
0,0.198912,2,-0.00444490898617697
0,0.198912,3,0.21635197519714625
0,0.20200800000000002,1,-0.0013513746838326633
0,0.20200800000000002,2,-0.003775083270966602
0,0.20200800000000002,3,0.10986495442456333
0,0.20508800000000002,1,-0.0013630019403072405
0,0.20508800000000002,2,-0.003436699211338947
0,0.20508800000000002,3,0.23825391928088857
0,0.208152,1,-0.001373531986690783
0,0.208152,2,-0.0027066892026623083
0,0.208152,3,0.24771333343036195
0,0.2112,1,-0.0013817819753804976
0,0.2112,2,-0.0019516589623665664
0,0.2112,3,0.19617249128548744
0,0.214232,1,-0.0013876994053543931
0,0.214232,2,-0.0013568639687889673
0,0.214232,3,0.16038331710155987
0,0.217248,1,-0.0013917917070842606
0,0.217248,2,-0.0008731478844106642
0,0.217248,3,0.15631296403460532
0,0.220248,1,-0.0013944111507374925
0,0.220248,2,-0.00040420899230684783
0,0.220248,3,0.1929741678614564
0,0.223232,1,-0.0013956173103705362
0,0.223232,2,0.0001716259245917409
0,0.223232,3,0.13878134298496037
0,0.2262,1,-0.001395107924626348
0,0.2262,2,0.000583528950571103
0,0.2262,3,0.1702363759559063
0,0.22915200000000002,1,-0.001393385347164262
0,0.22915200000000002,2,0.0010860667323929402
0,0.22915200000000002,3,0.09368712633267931
0,0.23208800000000002,1,-0.0013901966552379564
0,0.23208800000000002,2,0.001361132135305686
0,0.23208800000000002,3,0.1296660529455582
0,0.23500800000000002,1,-0.0013862221494028637
0,0.23500800000000002,2,0.0017397570099067167
0,0.23500800000000002,3,0.21477551239165613
0,0.237912,1,-0.0013811698950460945
