iteration,time,component,value
0,0.0,1,0.0
0,0.0,2,0.0
0,0.0,3,0.0
0,0.003992,1,0.0
0,0.003992,2,0.0
0,0.003992,3,0.06408605678568194
0,0.007968,1,0.0
0,0.007968,2,0.00025480616177987135
0,0.007968,3,0.13699892869680974
0,0.011928,1,1.0090324006482904e-6
0,0.011928,2,0.0007973219194192379
0,0.011928,3,0.08880534621118644
0,0.015872,1,4.153670050837766e-6
0,0.015872,2,0.0011475702048761574
0,0.015872,3,0.08458280411850638
0,0.0198,1,8.661325815591313e-6
0,0.0198,2,0.0014798114594536506
0,0.0198,3,0.04686806416783249
0,0.023712,1,1.4450348244973991e-5
0,0.023712,2,0.0016631593264782112
0,0.023712,3,-0.07076161825584709
0,0.027608,1,2.0930016980933103e-5
0,0.027608,2,0.001387472061753431
0,0.027608,3,-0.13621820052542138
0,0.031488,1,2.631340858053642e-5
0,0.031488,2,0.0008589454437147958
0,0.031488,3,-0.1695020497647185
0,0.035351999999999995,1,2.9632373775050384e-5
0,0.035351999999999995,2,0.00020398952342392477
0,0.035351999999999995,3,-0.14582819331087665
0,0.0392,1,3.0417325461185648e-5
0,0.0392,2,-0.0003571573644363292
0,0.0392,3,-0.19616205177186558
0,0.043031999999999994,1,2.9048698440665635e-5
0,0.043031999999999994,2,-0.001108850346826117
0,0.043031999999999994,3,-0.20710331413680785
0,0.046848,1,2.4817325517177164e-5
0,0.046848,2,-0.0018991565935721772
0,0.046848,3,-0.1616276263140355
0,0.050648,1,1.7600530461602894e-5
0,0.050648,2,-0.0025133415735655116
0,0.050648,3,-0.18925318132416577
0,0.054432,1,8.090045947230992e-6
0,0.054432,2,-0.0032294756116961554
0,0.054432,3,-0.25384988305535044
0,0.058199999999999995,1,-4.0786181576401e-6
0,0.058199999999999995,2,-0.004185981971048715
0,0.058199999999999995,3,-0.2187706585266106
0,0.061952,1,-1.97844225130149e-5
0,0.061952,2,-0.005006809481840559
0,0.061952,3,-0.16454973119971095
0,0.065688,1,-3.848986273717121e-5
0,0.065688,2,-0.005621567277602678
0,0.065688,3,-0.15062685636000822
0,0.069408,1,-5.940209300985318e-5
0,0.069408,2,-0.0061818991832619085
0,0.069408,3,-0.21312840471377092
0,0.073112,1,-8.229984758465529e-5
0,0.073112,2,-0.006971326794321716
0,0.073112,3,-0.24791727090466215
0,0.0768,1,-0.00010801010080211374
0,0.0768,2,-0.00788564568941811
0,0.0768,3,-0.29952162382589453
0,0.080472,1,-0.0001369661917736571
0,0.080472,2,-0.008985489092106797
0,0.080472,3,-0.27802289061845553
0,0.084128,1,-0.00016981713989439948
0,0.084128,2,-0.010001940780207868
0,0.084128,3,-0.2522851870508249
0,0.087768,1,-0.00020622420433435615
0,0.087768,2,-0.010920258861072871
0,0.087768,3,-0.17191899808661415
0,0.091392,1,-0.00024579922244688426
0,0.091392,2,-0.011543293310138762
0,0.091392,3,-0.1417424976745528
0,0.095,1,-0.0002874474247098649
0,0.095,2,-0.012054700241748548
0,0.095,3,-0.1568462772652102
0,0.09859199999999999,1,-0.0003307479079782255
0,0.09859199999999999,2,-0.01261809206968518
0,0.09859199999999999,3,-0.06933728205558745
0,0.102168,1,-0.0003758702052194198
0,0.102168,2,-0.012866042190315962
0,0.102168,3,-0.14075124659572025
0,0.105728,1,-0.0004216733154169447
0,0.105728,2,-0.013367116628196727
0,0.105728,3,-0.0693923958647091
0,0.109272,1,-0.00046904637674727377
0,0.109272,2,-0.013613043279141255
0,0.109272,3,-0.13597938600767795
0,0.11279999999999998,1,-0.0005170731934360839
0,0.11279999999999998,2,-0.014092778552976342
0,0.11279999999999998,3,-0.13070396028378423
0,0.116312,1,-0.0005665670317141371
0,0.116312,2,-0.014551810861492993
0,0.116312,3,-0.16277523683801753
0,0.119808,1,-0.0006174401624859166
0,0.119808,2,-0.015120873089478702
0,0.119808,3,-0.15159578747513658
0,0.123288,1,-0.0006700608008373024
0,0.123288,2,-0.015648426429892177
0,0.123288,3,-0.08917154892423604
0,0.126752,1,-0.000724266949990449
0,0.126752,2,-0.01595731667536573
0,0.126752,3,-0.10476329921112086
0,0.1302,1,-0.0007792877778871102
0,0.1302,2,-0.016318540531045676
0,0.1302,3,-0.07956335725048606
0,0.133632,1,-0.0008352930089896588
0,0.133632,2,-0.016591601973129342
0,0.133632,3,0.009553270619749234
0,0.137048,1,-0.0008919699213298687
0,0.137048,2,-0.01655896800069228
0,0.137048,3,0.0013122745636728363
0,0.140448,1,-0.0009482704125322222
0,0.140448,2,-0.016554506267175792
0,0.140448,3,-0.12078214099435787
0,0.14383200000000002,1,-0.0010042908617403454
0,0.14383200000000002,2,-0.0169632330323007
0,0.14383200000000002,3,0.004109549859622544
0,0.1472,1,-0.0010614230305931339
0,0.1472,2,-0.01694939206837349
0,0.1472,3,-0.05409290703570641
0,0.15055200000000002,1,-0.0011182373928063222
0,0.15055200000000002,2,-0.017130711492757182
0,0.15055200000000002,3,-0.08132183642383115
0,0.15388800000000002,1,-0.0011753854463461603
0,0.15388800000000002,2,-0.017402001139067085
0,0.15388800000000002,3,-0.042335879222091005
0,0.157208,1,-0.0012331600901278623
0,0.157208,2,-0.017542556258084426
0,0.157208,3,0.02306161320439725
0,0.160512,1,-0.0012911206960045732
0,0.160512,2,-0.017466360688057098
0,0.160512,3,0.06151760254926657
0,0.1638,1,-0.0013485500899469052
0,0.1638,2,-0.01726409081087511
0,0.1638,3,-0.03098131081081963
0,0.167072,1,-0.0014050381950800885
0,0.167072,2,-0.017365461659848112
0,0.167072,3,0.01073966414071895
0,0.170328,1,-0.0014615801382445541
0,0.170328,2,-0.017330493313405932
0,0.170328,3,-0.007805252044103712
0,0.173568,1,-0.0015177309365799892
0,0.173568,2,-0.017355782330028827
0,0.173568,3,0.06242953026214129
0,0.176792,1,-0.0015736859788120022
0,0.176792,2,-0.017154509524463683
0,0.176792,3,0.09921289396597519
0,0.18000000000000002,1,-0.0016287176453664818
0,0.18000000000000002,2,-0.016836234560620833
0,0.18000000000000002,3,0.0712694391516617
0,0.183192,1,-0.001682458906083983
0,0.183192,2,-0.01660874251084873
0,0.183192,3,0.024226246763088377
0,0.186368,1,-0.0017352082722984388
0,0.186368,2,-0.01653179995112916
0,0.186368,3,0.15370440883432598
0,0.189528,1,-0.0017874487601440068
0,0.189528,2,-0.01604609401921269
0,0.189528,3,0.15919574592731214
0,0.192672,1,-0.0018378976797404118
0,0.192672,2,-0.01554558259401722
0,0.192672,3,0.20165876365768345
0,0.1958,1,-0.0018865242620944975
0,0.1958,2,-0.014914793981295988
0,0.1958,3,0.17166260548982554
0,0.198912,1,-0.0019329391009642906
0,0.198912,2,-0.01438057995301165
0,0.198912,3,0.14846380397178618
0,0.20200800000000002,1,-0.001977461376498815
0,0.20200800000000002,2,-0.013920936015914997
0,0.20200800000000002,3,0.17479190341732437
0,0.20508800000000002,1,-0.0020203378594278332
0,0.20508800000000002,2,-0.013382576953389638
0,0.20508800000000002,3,0.2374989635437862
0,0.208152,1,-0.002061342075213019
0,0.208152,2,-0.01265488012909148
0,0.208152,3,0.16427106699294108
0,0.2112,1,-0.0020999141498464894
0,0.2112,2,-0.012154181916896998
0,0.2112,3,0.16708091731859445
0,0.214232,1,-0.0021367656294185213
0,0.214232,2,-0.011647592575587017
0,0.214232,3,0.23067749185942296
0,0.217248,1,-0.0021718947686264916
0,0.217248,2,-0.010951869260139
0,0.217248,3,0.28859376547712756
0,0.220248,1,-0.002204750376406909
0,0.220248,2,-0.010086087963707616
0,0.220248,3,0.35973578230776676
0,0.223232,1,-0.0022348472628906124
0,0.223232,2,-0.009012636389301235
0,0.223232,3,0.3252232748408319
0,0.2262,1,-0.0022615967676940583
0,0.2262,2,-0.008047373709573646
0,0.2262,3,0.37968058393549053
0,0.22915200000000002,1,-0.00228535261488472
0,0.22915200000000002,2,-0.006926556625796074
0,0.22915200000000002,3,0.4192401421962656
0,0.23208800000000002,1,-0.0023056889851380572
0,0.23208800000000002,2,-0.005695667568307841
0,0.23208800000000002,3,0.4281387687231917
0,0.23500800000000002,1,-0.002322320334437516
0,0.23500800000000002,2,-0.004445502363636118
0,0.23500800000000002,3,0.37837394295597043
